title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,parking,zip_code
"Residencia en Colonia Olímpica, San Felipe del Agua!",arlette,Casa,olimpica,11000000.0,3.0,3.0,539.0,413.0,"En venta, hermosa residencia en San Felipe del Agua; en la Colonia Olímpica, con plazas comerciales, restaurantes, supermercados, etc..., todos los servicios al alcance, mientras su familia disfruta de un entorno seguro en una de las mejores zonas de la Ciudad de Oaxaca.,Le presentamos una casa que cuenta con 413.18 m2 de terreno, y  539.20 m2 de construcción.,En su planta baja, la casa cuenta con una amplia estancia, que te recibe primero con un vestíbulo con amplios ventanales, que te llevan en un acristalado túnel hacia la estancia principal: una sala-comedor con ambientes abiertos que dan todos hacia el jardín de la casa. La cocina, es una muy amplia, con barra central y parrilla, así  como ante-comedor.,En la planta alta, la casa presume de una amplia sala familiar y tres recámaras, cada una con baño propio. La recámara principal, cuenta con vestidor y baño exclusivo, así como su terraza privada. Todas las recámaras cuentan con sus closets, y la recámara junior también tiene una preciosa terraza.,La casa cuenta con todos los servicios municipales, además de cochera para 2 vehículos con portón eléctrico, cuarto de lavanderia, cuarto de servicio,  cisterna de 20,000 litros con sistema hidroneumático, hermoso jardín, y  ¡excelente ubicación!",2.0,68044.0
Preciosas casas nuevas en Colonia del Maestro!,arlette,Casa,del maestro,2500000.0,4.0,4.0,200.0,150.0,"En venta, dos casas completamente nuevas, en Colonia del Maestro!,Superficie de terreno de 150 m2 cada una, con aproximadamente 200 m2 de construcción.,Planta baja, con amplia cochera para dos vehículos, sala, comedor, cocina integral equipada, así como cuarto de servicio con baño y despacho con baño completo.,Planta alta con tres recámaras-la principal con baño privado y vestidor- todas con closets, y baño completo para servicio a dos recámaras.,Todos los servicios, cisterna de 8000 litros, y excelente ubicación!",2.0,68016.0
Hermosa casa en Lomas de la Cascada,arlette,Casa,lomas de la cascada,7500000.0,3.0,3.0,399.0,230.0,"En venta, preciosa casa, como nueva, en Fraccionamiento Lomas de la Cascada.,Superficie de 230 m2 de construcción, y 399 m2 de construcción.,Casa de dos plantas, que consta en planta baja de sala, comedor, 1/2 baño, cocina integral totalmente equipada, jardín y terraza.,Planta alta que cuenta con 3 recámaras, cada una con baño propio, closets y aire acondicionado; la principal cuenta ademas con tina de hidromasaje, vestidor y domo eléctrico, madera de cedro, y sala de TV.,La casa cuenta con cochera para dos autos techada, cisterna de 25000 litros, hidroneumático con filtros, cerca electrificada, circuito cerrado con 9 cámaras, cuarto de servicio, lavandería y todos los servicios.",2.0,68040.0
Bonita casa con vistas panoramicas en San Felipe del Agua!,arlette,Casa,san felipe del agua,3400000.0,2.0,2.0,155.0,310.0,"En venta, hermosa casa en San Felipe del Agua, en zona en crecimiento, con vistas espectaculares de las montañas!,Superficie de terreno de 310 m2, y 155 m2 de construcción.,Entrando a la casa, nos recibe un hermoso jardín y terraza que da acceso a la cocina y el antecomedor. Bajando un nivel, encontramos la sala, que da acceso a sí mismo, a el estudio-recámara, que cuenta con baño completo.,En segundo nivel, la casa cuenta con una recámara en un bonito tapanco de madera, y otra más sobre loza, que también tiene baño completo.,Saliendo hacia el jardín posterior, nos encontramos con un hermoso estudio, con doble altura y tapanco, que nos lleva a una hermosa recámara.,La casa cuenta con agua potable, pavimentación, cisterna de 5000 litros.,Ideal para parejas jóvenes!",2.0,68026.0
"Hermosa casa estilo rústico, cerca Plaza Bella!",arlette,Casa,montoya,3500000.0,4.0,4.0,220.0,600.0,"Bonita casa estilo rústico en Agencia Montoya, a solo un par de cuadras de Plaza Bella, excelente ubicación y gran terreno!,Superficie de 600 metros cuadrados de terreno, y construcción de 220 metros cuadrados distribuidos en casa principal y bungalow.,Casa principal con cochera para dos autos, amplia sala, comedor y cocina integral.,Area interior con patio central y bonitos corredores; tres recámaras, cada una con baño completo y closet, así como estudio con estanteria, todo con salidas al patio interior.,Amplio cuarto de lavanderia, gas estacionario, pozo y cisterna.,En la parte trasera, cuenta con gran jardín arbolado con limon, guayaba, naranja y huaje, así como un bungalow que consta de estancia, cocineta, y recámara con baño completo y closet.,Zona con todos los servicios, y a sólo dos cuadras de Plaza Bella, excelente ubicación!",2.0,68143.0
"Casa en Colonia Vicente Suarez, cerca de Calzada Madero y Circuito Interior!",arlette,Casa,vicente suarez,3000000.0,7.0,3.0,338.0,278.0,"Bonita casa en Colonia Vicente Suárez, muy cerca de Calzada Madero, y a unos pasos de Circuito Interior y el Instituto Tecnológico de Oaxaca.,Superficie de terreno de 278 metros cuadrados, y 338 metros cuadrados de construcción.,Casa principal, en dos plantas. Planta baja con sala, estudio, comedor, cobacha, medio baño, cocina equipada, y tres recámaras y baño completo.,Planta alta con sala de TV, dos recámaras; cada una con closet, un baño completo y amplia terraza con área de gimnasio.,Cuenta además, con departamento completo con acceso independiente que consta de dos recámaras, baño completo, estancia y cocineta.,Equipada con cochera para tres autos, área de servicio y cisterna de 3000 litros.,Como nueva, en excelente estado!",3.0,68156.0
Hermosa residencia nueva en Jardines del Valle!,arlette,Casa,jardines del valle,6800000.0,3.0,3.0,350.0,235.0,"En venta, hermosa residencia nueva, en el Fraccionamiento exclusivo Jardines del Valle, con acabados de primera!,Propiedad con superficie de terreno de 235 m2, y aproximadamente 350 m2 de construcción.,Entrando, la casa tiene un garaje techado para dos autos, y cisterna de 10,000 litros, con sistema hidroneumático.,En primera planta, la casa cuenta con amplia sala-comedor, con salida al jardín, barra independiente, y medio baño, con acabados de  mármol. Siguiendo, se encuentra la cocina, totalmente equipada, con dos hornos, parrilla, y lavavajillas, completamente nuevo.,En la planta alta, una sala familiar conecta con las tres recámaras, todas con baño propio, closets, y la principal con una hermosa vista hacia el norte, vestidor, y baño con doble lavabo.,La casa cuenta con cuarto de servicio con baño, entrada independiente para servicio, y cuarto de lavado con instalaciones para lavadora, secadora, y zona oculta de tendido.,Oportunidad, para estrenar! Excelente ubicación, en fraccionamiento exclusivo con acceso controlado y seguridad las 24 horas!",2.0,68125.0
"Preciosa residencia en San Felipe del Agua, con vistas espectaculares!",arlette,Casa,san felipe del agua,8650000.0,4.0,3.0,190.0,736.0,"Para venta, hermosa casa, con amplio jardín arbolado, en San Felipe del Agua, cerca de la Iglesia, con vistas panorámicas de las montañas!,Superficie de terreno de 736 m2, y aproximadamente 190 m2 de construcción.,Casa en dos plantas, que cuenta, en primera planta, con amplia sala-comedor de doble altura, cocina, medio baño, y recámara de visitas con baño completo.,En planta alta, la casa tiene 3 recámaras, la principal con baño, vestidor y balcón, y un baño completo para las otras dos.,En el exterior, la casa cuenta con un hermoso jardín, con muchos arboles, una terraza elevada con hermosas vistas.,La casa cuenta con cuchera para 2 autos, cisterna de 10,000 litros, y servicios en la zona.,Gran oportunidad!",2.0,68026.0
"Magnifica propiedad en el Centro de Oaxaca, ideal para oficinas u hostal!",arlette,Casa,oaxaca centro,11500000.0,8.0,4.0,420.0,289.0,"En venta, excelente propiedad para oficinas, hostal, escuela, etcétera, en el centro de la Ciudad de Oaxaca, sobre la calle Guerrero, a pocas cuadras del Zocalo!,Superficie de 289m2 de terreno, y 420 m2 de construcción!,La propiedad consta de una construcción en dos plantas, que cuenta con cochera para dos autos, sala, comedor, cocina, varios espacios diseñados para privados, numerosos baños en ambas plantas.,La propiedad se puede configurar para obtener los espacios deseados, al contar con 3 salas de gran tamaño. Así mismo, también tiene una cocina en la azotea, techada.,Excelente ubicación, ideal para oficinas, clinica, hostal, escuela! Oportunidad!",2.0,68000.0
"Hermosa propiedad en renta en San Felipe del Agua, sobre calle principal!",arlette,Casa,san felipe del agua,50000.0,3.0,2.0,350.0,800.0,"En renta! Hermosa propiedad en San Felipe del Agua, en esquina! Ubicada sobre Avenida Jacarandas, con amplios jardines, frente a dos calles, ideal para restaurante, pequeño hotel boutique, spa, etc!,Superficie de terreno de 800m2, y superficie construida de aproximadamente 350m2.,La casa cuenta con dos entradas con cochera para hasta 4 autos en cada una; una de ellas con barra exterior, además de contar la propiedad con hermosos jardines.,La casa en planta baja, presume una amplia sala-comedor, recibidor, estudio y recámara con baño completo y tina, así como medio baño y cocina.,En planta alta, la casa cuenta con amplia sala de estar, así como dos recámaras con baño compartido.,La propiedad cuenta con área de servicio con lavandería y cuarto de servicio con baño, y bodega, cisterna de 10,000 litros, y todos los servicios de la zona.,Oportunidad! Inmejorable ubicación para comercio de alto nivel.",8.0,68026.0
