title,seller,property_type,address,price,bedrooms,bathrooms,built_area,land_area,description,parking
"Residencia en Colonia Olímpica, San Felipe del Agua!",arlette,Casa,Olímpica,[11000000],[3],[3],[539],[413],"En venta, hermosa residencia en San Felipe del Agua; en la Colonia Olímpica, con plazas comerciales, restaurantes, supermercados, etc..., todos los servicios al alcance, mientras su familia disfruta de un entorno seguro en una de las mejores zonas de la Ciudad de Oaxaca.,Le presentamos una casa que cuenta con 413.18 m2 de terreno, y  539.20 m2 de construcción.,En su planta baja, la casa cuenta con una amplia estancia, que te recibe primero con un vestíbulo con amplios ventanales, que te llevan en un acristalado túnel hacia la estancia principal: una sala-comedor con ambientes abiertos que dan todos hacia el jardín de la casa. La cocina, es una muy amplia, con barra central y parrilla, así  como ante-comedor.,En la planta alta, la casa presume de una amplia sala familiar y tres recámaras, cada una con baño propio. La recámara principal, cuenta con vestidor y baño exclusivo, así como su terraza privada. Todas las recámaras cuentan con sus closets, y la recámara junior también tiene una preciosa terraza.,La casa cuenta con todos los servicios municipales, además de cochera para 2 vehículos con portón eléctrico, cuarto de lavanderia, cuarto de servicio,  cisterna de 20,000 litros con sistema hidroneumático, hermoso jardín, y  ¡excelente ubicación!",2
Preciosas casas nuevas en Colonia del Maestro!,arlette,Casa,Del Maestro,[2500000],[4],[4],[200],[150],"En venta, dos casas completamente nuevas, en Colonia del Maestro!,Superficie de terreno de 150 m2 cada una, con aproximadamente 200 m2 de construcción.,Planta baja, con amplia cochera para dos vehículos, sala, comedor, cocina integral equipada, así como cuarto de servicio con baño y despacho con baño completo.,Planta alta con tres recámaras-la principal con baño privado y vestidor- todas con closets, y baño completo para servicio a dos recámaras.,Todos los servicios, cisterna de 8000 litros, y excelente ubicación!",2
Hermosa casa en Lomas de la Cascada,arlette,Casa,Lomas de la Cascada,[7500000],[3],[3],[399],[230],"En venta, preciosa casa, como nueva, en Fraccionamiento Lomas de la Cascada.,Superficie de 230 m2 de construcción, y 399 m2 de construcción.,Casa de dos plantas, que consta en planta baja de sala, comedor, 1/2 baño, cocina integral totalmente equipada, jardín y terraza.,Planta alta que cuenta con 3 recámaras, cada una con baño propio, closets y aire acondicionado; la principal cuenta ademas con tina de hidromasaje, vestidor y domo eléctrico, madera de cedro, y sala de TV.,La casa cuenta con cochera para dos autos techada, cisterna de 25000 litros, hidroneumático con filtros, cerca electrificada, circuito cerrado con 9 cámaras, cuarto de servicio, lavandería y todos los servicios.",2
Bonita casa con vistas panoramicas en San Felipe del Agua!,arlette,Casa,San Felipe Del Agua,[3400000],[2],[2],[155],[310],"En venta, hermosa casa en San Felipe del Agua, en zona en crecimiento, con vistas espectaculares de las montañas!,Superficie de terreno de 310 m2, y 155 m2 de construcción.,Entrando a la casa, nos recibe un hermoso jardín y terraza que da acceso a la cocina y el antecomedor. Bajando un nivel, encontramos la sala, que da acceso a sí mismo, a el estudio-recámara, que cuenta con baño completo.,En segundo nivel, la casa cuenta con una recámara en un bonito tapanco de madera, y otra más sobre loza, que también tiene baño completo.,Saliendo hacia el jardín posterior, nos encontramos con un hermoso estudio, con doble altura y tapanco, que nos lleva a una hermosa recámara.,La casa cuenta con agua potable, pavimentación, cisterna de 5000 litros.,Ideal para parejas jóvenes!",2
"Bonita casa en Col. del Maestro, bien ubicada!",arlette,Casa,Del Maestro,[2300000],[3],[2],[168],,"En venta, casa sola en Colonia del Maestro, bien ubicada, con todos los servicios!,Casa de dos plantas que cuenta con sala, comedor, cocina integral equipada, medio baño, patio de servicio y jardín en planta baja.,En planta alta, la casa cuenta con tres recámaras con closets, la principal con baño completo, y un baño mas que da servicio a las otras dos.,Cuenta con cisterna, cochera para dos autos con portan eléctrico, cerca electrificada.",2
"Hermosa casa estilo rústico, cerca Plaza Bella!",arlette,Casa,Agencia Municipal Montoya,[3500000],[4],[4],[220],[600],"Bonita casa estilo rústico en Agencia Montoya, a solo un par de cuadras de Plaza Bella, excelente ubicación y gran terreno!,Superficie de 600 metros cuadrados de terreno, y construcción de 220 metros cuadrados distribuidos en casa principal y bungalow.,Casa principal con cochera para dos autos, amplia sala, comedor y cocina integral.,Area interior con patio central y bonitos corredores; tres recámaras, cada una con baño completo y closet, así como estudio con estanteria, todo con salidas al patio interior.,Amplio cuarto de lavanderia, gas estacionario, pozo y cisterna.,En la parte trasera, cuenta con gran jardín arbolado con limon, guayaba, naranja y huaje, así como un bungalow que consta de estancia, cocineta, y recámara con baño completo y closet.,Zona con todos los servicios, y a sólo dos cuadras de Plaza Bella, excelente ubicación!",2
"Casa en Colonia Vicente Suarez, cerca de Calzada Madero y Circuito Interior!",arlette,Casa,Vicente Suárez,[3000000],[7],[3],[338],[278],"Bonita casa en Colonia Vicente Suárez, muy cerca de Calzada Madero, y a unos pasos de Circuito Interior y el Instituto Tecnológico de Oaxaca.,Superficie de terreno de 278 metros cuadrados, y 338 metros cuadrados de construcción.,Casa principal, en dos plantas. Planta baja con sala, estudio, comedor, cobacha, medio baño, cocina equipada, y tres recámaras y baño completo.,Planta alta con sala de TV, dos recámaras; cada una con closet, un baño completo y amplia terraza con área de gimnasio.,Cuenta además, con departamento completo con acceso independiente que consta de dos recámaras, baño completo, estancia y cocineta.,Equipada con cochera para tres autos, área de servicio y cisterna de 3000 litros.,Como nueva, en excelente estado!",3
Hermosa residencia nueva en Jardines del Valle!,arlette,Casa,Jardines del Valle,[6800000],[3],[3],[350],[235],"En venta, hermosa residencia nueva, en el Fraccionamiento exclusivo Jardines del Valle, con acabados de primera!,Propiedad con superficie de terreno de 235 m2, y aproximadamente 350 m2 de construcción.,Entrando, la casa tiene un garaje techado para dos autos, y cisterna de 10,000 litros, con sistema hidroneumático.,En primera planta, la casa cuenta con amplia sala-comedor, con salida al jardín, barra independiente, y medio baño, con acabados de  mármol. Siguiendo, se encuentra la cocina, totalmente equipada, con dos hornos, parrilla, y lavavajillas, completamente nuevo.,En la planta alta, una sala familiar conecta con las tres recámaras, todas con baño propio, closets, y la principal con una hermosa vista hacia el norte, vestidor, y baño con doble lavabo.,La casa cuenta con cuarto de servicio con baño, entrada independiente para servicio, y cuarto de lavado con instalaciones para lavadora, secadora, y zona oculta de tendido.,Oportunidad, para estrenar! Excelente ubicación, en fraccionamiento exclusivo con acceso controlado y seguridad las 24 horas!",2
"Casa en Lomas del Crestón, a dos cuadras de la Fuente de las 8 Regiones!",arlette,Casa,Lomas Del Creston,[3200000],[5],[3],,[139],"En venta, oportunidad, casa en Lomas del Crestón, parte baja, a solo media cuadra de la Calle Gerardo Varela, y a dos cuadras de la Fuente de las 8 Regiones.,Superficie de terreno de 139 m2, con casa en dos plantas.,Planta baja que cuenta con sala-comedor, cocina, baño completo y recámara. Cochera techada para un auto.,Planta alta con 4 recámaras y dos baños, sala de estar.,Azotea con zona de servicio y terraza.,Ideal para consultorios, oficinas, renta a estudiantes, etc.,Oportunidad!",1
URGE!Preciosa residencia en San Felipe del Agua!,arlette,Casa,San Felipe Del Agua,[16000000],[5],,[558],[600],"En venta, preciosa residencia en San Felipe del Agua, cerca del Hotel Misión San Felipe, a solo dos cuadras de avenida Jacarandas.,Superficie de terreno de 600 m2, y 558 m2 de construcción.,La casa cuenta con una amplia sala-comedor, cocina integral completa, antecomedor, estudio y oficina en planta baja, así como capilla, dos recámaras con baño completo, medio baño, bar y cava, biblioteca, terraza cubierta, cochera cubierta para 3 autos y amplio patio.,En planta alta, la casa cuenta con sala familiar, terraza descubierta con piso transparente, 2 recámaras con baño y vestidor, patio de servicio y cuarto de blancos.,La casa cuenta con cuarto de servicio con baño, bodega, cisterna con hidroneumático, lavanderia, y todos los servicios en la zona.,Gram oportunidad, excelente ubicación!",3
